station1,station2,,,,,
Saint-Quentin-en-Yvelines,Saint-Cyr,,,,,
Saint-Cyr,Versailles-Chantiers,,,,,
Versailles-Chantiers,Viroflay Rive Gauche,,,,,
Viroflay Rive Gauche,Porchefontaine,,,,,
Porchefontaine,Versailles Château,,,,,
Viroflay Rive Gauche,Chaville-Vélizy,,,,,
Chaville-Vélizy,Meudon-Val-Fleury,,,,,
Meudon-Val-Fleury,Issy,,,,,
Issy,Issy-Val-de-Seine,,,,,
Issy-Val-de-Seine,Pont du Garigliano,,,,,
Pont du Garigliano,Javel,,,,,
Javel,Champ de Mars,,,,,
Champ de Mars,Avenue du Président Kennedy,,,,,
Avenue du Président Kennedy,Boulainvilliers,,,,,
Boulainvilliers,Avenue Henri Martin,,,,,
Avenue Henri Martin,Avenue Foch,,,,,
Avenue Foch,Neuilly Porte Maillot,,,,,
Neuilly Porte Maillot,Pereire-Levallois,,,,,
Pereire-Levallois,Porte de Clichy,,,,,
Porte de Clichy,Saint-Ouen,,,,,
Saint-Ouen,Les Grésillons,,,,,
Les Grésillons,Gennevilliers,,,,,
Gennevilliers,Épinay-sur-Seine,,,,,
Épinay-sur-Seine,Saint-Gratien,,,,,
Saint-Gratien,Ermont-Eaubonne,,,,,
Ermont-Eaubonne,Cernay,,,,,
Cernay,Franconville-Le Plessis-Bouchard,,,,,
Franconville-Le Plessis-Bouchard,Montigny-Beauchamp,,,,,
Montigny-Beauchamp,Pierrelaye,,,,,
Pierrelaye,Saint-Ouen-l'Aumône-Liesse,,,,,
Saint-Ouen-l'Aumône-Liesse,Saint-Ouen-l'Aumône,,,,,
Saint-Ouen-l'Aumône,Pontoise,,,,,
Champ de Mars,Pont de l'Alma,,,,,
Pont de l'Alma,Invalides,,,,,
Invalides,Musée d'Orsay,,,,,
Musée d'Orsay,Saint-Michel,,,,,
Saint-Michel,Paris Austerlitz,,,,,
Paris Austerlitz,Bibliothèque François Mitterrand,,,,,
Bibliothèque François Mitterrand,Ivry-sur-Seine,,,,,
Ivry-sur-Seine,Vitry-sur-Seine,,,,,
Vitry-sur-Seine,Les Ardoines,,,,,
Les Ardoines,Choisy-le-Roi,,,,,
Choisy-le-Roi,Villeneuve-le-Roi,,,,,
Villeneuve-le-Roi,Ablon,,,,,
Ablon,Athis-Mons,,,,,
Athis-Mons,Juvisy,,,,,
Juvisy,Savigny-sur-Orge,,,,,
Savigny-sur-Orge,Épinay-sur-Orge,,,,,
Épinay-sur-Orge,Sainte-Geneviève-des-Bois,,,,,
Sainte-Geneviève-des-Bois,Saint-Michel-sur-Orge,,,,,
Saint-Michel-sur-Orge,Brétigny,,,,,
Brétigny,Marolles-en-Hurepoix,,,,,
Marolles-en-Hurepoix,Bouray,,,,,
Bouray,Lardy,,,,,
Lardy,Chamarande,,,,,
Chamarande,Étréchy,,,,,
Étréchy,Étampes,,,,,
Étampes,Saint-Martin-d'Étampes,,,,,
Brétigny,La Norville,,,,,
La Norville,Arpajon,,,,,
Arpajon,Égly,,,,,
Égly,Breuillet,,,,,
Breuillet,Breuillet-Village,,,,,
Breuillet-Village,Saint-Chéron,,,,,
Saint-Chéron,Sermaise,,,,,
Sermaise,Dourdan,,,,,
Dourdan,Dourdan-la-Forêt,,,,,
Choisy-le-Roi,Les Saules,,,,,
Les Saules,Orly Ville,,,,,
Orly Ville,Pont de Rungis,,,,,
Pont de Rungis,Rungis-La Fraternelle,,,,,
Rungis-La Fraternelle,Chemin d'Antony,,,,,
Chemin d'Antony,Massy-Verrières,,,,,
Massy-Verrières,Massy-Palaiseau,,,,,
Massy-Palaiseau,Igny,,,,,
Igny,Bièvres,,,,,
Bièvres,Vauboyen,,,,,
Vauboyen,Jouy-en-Josas,,,,,
Jouy-en-Josas,Petit-Jouy-les-Loges,,,,,
Petit-Jouy-les-Loges,Versailles-Chantiers,,,,,
Massy-Palaiseau,Longjumeau,,,,,
Longjumeau,Chilly-Mazarin,,,,,
Chilly-Mazarin,Gravigny-Balizy,,,,,
Gravigny-Balizy,Petit-Vaux,,,,,
Petit-Vaux,Savigny-sur-Orge,,,,,
